dataset,method,mean_acc,std_acc,all_accs
digits,mepsi,95.93,0.57,"[96.66666666666667, 95.27777777777777, 95.83333333333334]"
digits,kappa,95.46,0.69,"[96.38888888888889, 95.27777777777777, 94.72222222222221]"
digits,random,95.46,0.69,"[96.38888888888889, 95.27777777777777, 94.72222222222221]"
breast-w,mepsi,94.76,0.89,"[95.0, 95.71428571428572, 93.57142857142857]"
breast-w,kappa,95.24,0.34,"[95.71428571428572, 95.0, 95.0]"
breast-w,random,95.24,0.34,"[95.71428571428572, 95.0, 95.0]"
